City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hithadhoo,MV,81.25,broken clouds,-0.6,73.0833,Scoop Guest House
3,Luganville,VU,79.39,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
6,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Guarapari,BR,84.09,broken clouds,-20.6667,-40.4975,Hotel Porto do Sol
16,Tibiri,NE,89.69,few clouds,13.5627,7.0485,
20,Arlit,NE,87.26,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
30,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
33,Marsh Harbour,BS,81.95,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
38,Butaritari,KI,80.2,clear sky,3.0707,172.7902,Isles Sunset Lodge
42,Mount Pleasant,US,82.09,clear sky,32.7941,-79.8626,Best Western Patriots Point
43,Kulhudhuffushi,MV,81.75,overcast clouds,6.6221,73.07,Haajy Guest House 1
46,Lorengau,PG,80.13,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
48,Atuona,PF,77.99,clear sky,-9.8,-139.0333,Villa Enata
51,Kahului,US,80.83,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
60,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
63,Inhambane,MZ,75.18,light rain,-23.865,35.3833,Oceano
65,Hilo,US,79.29,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
75,Mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
76,Ixtapa,MX,86.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
79,San Juan De Los Lagos,MX,78.51,scattered clouds,21.25,-102.3,Hotel Posada Arcos
81,Bengkulu,ID,75.47,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
83,Gusau,NG,83.66,scattered clouds,12.1628,6.6614,GUEST INN
85,Tombouctou,ML,88.65,clear sky,20.0,-3.0,
89,Sao Felix Do Xingu,BR,85.1,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
107,Puerto Escondido,MX,84.76,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
109,Jalu,LY,76.75,clear sky,29.0331,21.5482,صاحبة الفخامة
114,Quatre Cocos,MU,75.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
116,Marica,BR,84.25,overcast clouds,-22.9194,-42.8186,Marica Hills
120,Veinticinco De Mayo,AR,77.05,clear sky,-35.4323,-60.1727,Estancia La Rosada
133,Bandarbeyla,SO,78.62,scattered clouds,9.4942,50.8122,JABIR HOTEL
134,Valdez,EC,80.01,broken clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
137,Robertsport,LR,79.93,light rain,6.7533,-11.3686,Kwepunha Retreat
145,Bundaberg,AU,76.21,broken clouds,-24.85,152.35,Takalvan Motel
146,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
149,Cayenne,GF,84.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
152,Takoradi,GH,78.17,scattered clouds,4.8845,-1.7554,Raybow International Hotel
157,Pitimbu,BR,84.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
160,Kendari,ID,76.37,overcast clouds,-3.945,122.4989,Hotel Wixel
166,Faanui,PF,77.63,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
180,Wilmington,US,79.99,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
185,Muisne,EC,77.36,overcast clouds,0.6,-80.0333,Quinta Samay
186,Bambous Virieux,MU,75.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
188,Ciudad Bolivar,VE,82.08,light rain,8.1222,-63.5497,Hotel Edi
189,Don Sak,TH,82.15,light rain,9.3168,99.6918,Sea Sun Moon Hostel
191,Sao Joao Da Barra,BR,80.69,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
195,Loiza,PR,87.87,light rain,18.4313,-65.8802,Malibu Beachfront
196,Caravelas,BR,79.03,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
200,Manuk Mangkaw,PH,82.4,broken clouds,4.8,119.85,
203,Dingle,PH,75.24,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
204,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
205,San Pedro De Uraba,CO,82.89,overcast clouds,8.2752,-76.3764,Hotel La Gran Manzana
207,Cururupu,BR,85.05,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
