City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Leningradskiy,RU,69.3833,178.4167,9.14,95,100,6.85,overcast clouds
1,Hithadhoo,MV,-0.6,73.0833,81.25,77,63,14.29,broken clouds
2,Saint-Philippe,RE,-21.3585,55.7679,73.47,85,43,15.99,scattered clouds
3,Luganville,VU,-15.5333,167.1667,79.39,83,48,6.98,scattered clouds
4,Changde,CN,29.0464,111.6783,53.51,66,2,3.0,clear sky
5,Ushuaia,AR,-54.8,-68.3,33.46,80,75,34.52,snow
6,Kapaa,US,22.0752,-159.319,80.58,76,20,3.0,few clouds
7,Esperance,AU,-33.8667,121.9,67.84,35,100,24.32,overcast clouds
8,Astoria,US,46.1879,-123.8313,57.9,73,90,3.0,overcast clouds
9,Guarapari,BR,-20.6667,-40.4975,84.09,86,68,12.24,broken clouds
10,Iqaluit,CA,63.7506,-68.5145,31.73,74,90,5.99,overcast clouds
11,Kungurtug,RU,50.5994,97.5228,28.65,72,70,1.36,broken clouds
12,Gobabis,NA,-22.45,18.9667,74.61,11,0,9.55,clear sky
13,Bredasdorp,ZA,-34.5322,20.0403,53.28,76,0,3.44,clear sky
14,College,US,64.8569,-147.8028,27.21,89,90,0.0,mist
15,San Cristobal,VE,7.7669,-72.225,73.58,49,89,3.71,overcast clouds
16,Tibiri,NE,13.5627,7.0485,89.69,13,16,8.77,few clouds
17,Prieska,ZA,-29.6641,22.7474,58.37,21,0,4.12,clear sky
18,Bilibino,RU,68.0546,166.4372,-20.72,100,95,3.4,overcast clouds
19,Rikitea,PF,-23.1203,-134.9692,74.7,72,23,17.83,few clouds
20,Arlit,NE,18.7369,7.3853,87.26,10,5,6.69,clear sky
21,Punta Arenas,CL,-53.15,-70.9167,46.51,36,75,21.85,broken clouds
22,Kaitangata,NZ,-46.2817,169.8464,53.8,85,100,0.25,overcast clouds
23,Luderitz,NA,-26.6481,15.1594,60.75,64,0,13.18,clear sky
24,Yellowknife,CA,62.456,-114.3525,41.56,84,90,21.85,overcast clouds
25,Belle Fourche,US,44.6714,-103.8522,60.89,45,13,5.01,few clouds
26,Nikolskoye,RU,59.7035,30.7861,34.88,83,94,4.32,overcast clouds
27,Geraldton,AU,-28.7667,114.6,65.12,77,90,4.61,overcast clouds
28,Albany,US,42.6001,-73.9662,57.58,62,99,2.75,overcast clouds
29,Kodiak,US,57.79,-152.4072,44.11,87,90,0.0,overcast clouds
30,Vaini,TO,-21.2,-175.2,75.36,78,20,6.91,few clouds
31,Saintes,FR,45.6667,-0.75,56.89,85,8,4.76,clear sky
32,Vryburg,ZA,-26.9566,24.7284,64.98,22,0,7.02,clear sky
33,Marsh Harbour,BS,26.5412,-77.0636,81.95,72,100,10.16,overcast clouds
34,Lebu,CL,-37.6167,-73.65,57.51,80,12,9.4,few clouds
35,Port Alfred,ZA,-33.5906,26.891,59.95,73,21,11.14,few clouds
36,Pangnirtung,CA,66.1451,-65.7125,28.4,86,75,4.61,broken clouds
37,Mar Del Plata,AR,-38.0023,-57.5575,71.62,28,0,18.41,clear sky
38,Butaritari,KI,3.0707,172.7902,80.2,71,2,2.66,clear sky
39,Sumoto,JP,34.35,134.9,59.72,63,99,4.45,overcast clouds
40,Krasnoarmeysk,RU,51.0239,45.6969,41.29,61,100,8.68,overcast clouds
41,Jamestown,US,42.097,-79.2353,54.99,84,90,3.0,overcast clouds
42,Mount Pleasant,US,32.7941,-79.8626,82.09,68,1,5.01,clear sky
43,Kulhudhuffushi,MV,6.6221,73.07,81.75,79,100,13.76,overcast clouds
44,Castro,BR,-24.7911,-50.0119,61.36,87,95,3.42,overcast clouds
45,Korla,CN,41.7597,86.1469,47.28,39,0,2.26,clear sky
46,Lorengau,PG,-2.0226,147.2712,80.13,82,92,8.12,overcast clouds
47,Clyde River,CA,70.4692,-68.5914,12.72,79,69,5.75,broken clouds
48,Atuona,PF,-9.8,-139.0333,77.99,69,3,17.34,clear sky
49,East London,ZA,-33.0153,27.9116,62.58,67,94,13.09,overcast clouds
